cpf,estabelecimento,cidade,uf,valor,compra_virtual,data_hora,latitude,longitude
21127242432,Loja D,Rio de Janeiro,RJ,137.38,False,2024-12-30 15:48:00,-22.9068,-43.1729
63332663133,Loja A,Fortaleza,CE,348.07,False,2024-12-09 09:15:00,-3.7172,-38.5437
52816175565,Loja C,Rio de Janeiro,RJ,135.04,True,2024-12-13 20:54:00,-22.9068,-43.1729
81909742873,Loja B,Fortaleza,CE,120.97,False,2024-12-04 19:46:00,-3.7172,-38.5437
13575499231,Loja A,São Paulo,SP,444.73,True,2024-12-21 12:16:00,-23.5505,-46.6333
10979653485,Loja D,Curitiba,PR,147.86,True,2024-12-23 23:17:00,-25.4284,-49.2733
69930129946,Loja B,São Paulo,SP,276.84,True,2024-12-09 03:34:00,-23.5505,-46.6333
52224086377,Loja A,Salvador,BA,173.2,False,2024-12-08 09:32:00,-12.9714,-38.5014
63332663133,Loja A,Curitiba,PR,148.6,True,2024-12-22 18:59:00,-25.4284,-49.2733
55701625671,Loja C,São Paulo,SP,219.12,False,2024-12-02 01:29:00,-23.5505,-46.6333
52224086377,Loja B,Fortaleza,CE,198.63,True,2024-12-08 06:51:00,-3.7172,-38.5437
67462158972,Loja B,Fortaleza,CE,157.25,True,2024-12-18 01:52:00,-3.7172,-38.5437
35316259519,Loja B,Rio de Janeiro,RJ,122.77,False,2024-12-25 01:09:00,-22.9068,-43.1729
67462158972,Loja D,Salvador,BA,194.24,True,2024-12-17 10:50:00,-12.9714,-38.5014
10979653485,Loja B,São Paulo,SP,136.81,True,2024-12-24 02:09:00,-23.5505,-46.6333
81909742873,Loja B,Rio de Janeiro,RJ,424.54,True,2024-12-10 22:42:00,-22.9068,-43.1729
11410425299,Loja C,São Paulo,SP,459.17,False,2024-12-01 21:59:00,-23.5505,-46.6333
63332663133,Loja A,São Paulo,SP,344.64,False,2024-12-30 13:51:00,-23.5505,-46.6333
10979653485,Loja A,Rio de Janeiro,RJ,362.65,False,2024-12-07 13:30:00,-22.9068,-43.1729
44527891409,Loja A,São Paulo,SP,446.91,False,2024-12-17 22:08:00,-23.5505,-46.6333
69205217019,Loja B,São Paulo,SP,397.35,False,2024-12-12 14:24:00,-23.5505,-46.6333
44527891409,Loja B,Rio de Janeiro,RJ,198.63,True,2024-12-28 10:01:00,-22.9068,-43.1729
69930129946,Loja A,Belo Horizonte,MG,423.29,True,2024-12-18 18:36:00,-19.9191,-43.9386
69205217019,Loja A,Fortaleza,CE,376.18,True,2024-12-26 18:20:00,-3.7172,-38.5437
11410425299,Loja A,Salvador,BA,337.2,True,2024-12-20 07:29:00,-12.9714,-38.5014
35316259519,Loja C,São Paulo,SP,361.95,False,2024-12-07 23:34:00,-23.5505,-46.6333
19836021835,Loja C,Salvador,BA,415.88,False,2024-12-21 03:07:00,-12.9714,-38.5014
21127242432,Loja A,Salvador,BA,126.54,False,2024-12-12 01:54:00,-12.9714,-38.5014
67462158972,Loja A,Rio de Janeiro,RJ,461.92,True,2024-12-01 02:06:00,-22.9068,-43.1729
19836021835,Loja B,Belo Horizonte,MG,136.11,True,2024-12-07 15:38:00,-19.9191,-43.9386
81909742873,Loja C,Salvador,BA,201.96,True,2024-12-30 01:04:00,-12.9714,-38.5014
19836021835,Loja B,São Paulo,SP,392.5,False,2024-12-07 03:44:00,-23.5505,-46.6333
11410425299,Loja B,Belo Horizonte,MG,182.54,True,2024-12-02 01:55:00,-19.9191,-43.9386
33996388255,Loja D,São Paulo,SP,146.04,False,2024-12-21 04:40:00,-23.5505,-46.6333
13575499231,Loja A,Curitiba,PR,140.32,True,2024-12-04 00:14:00,-25.4284,-49.2733
63332663133,Loja A,Salvador,BA,464.36,False,2024-12-28 08:35:00,-12.9714,-38.5014
35316259519,Loja A,Belo Horizonte,MG,217.29,True,2024-12-23 02:03:00,-19.9191,-43.9386
52224086377,Loja D,Salvador,BA,381.17,True,2024-12-03 00:30:00,-12.9714,-38.5014
33996388255,Loja A,Belo Horizonte,MG,314.23,True,2024-12-29 23:39:00,-19.9191,-43.9386
69930129946,Loja D,Rio de Janeiro,RJ,437.45,False,2024-12-08 05:12:00,-22.9068,-43.1729
52224086377,Loja C,Fortaleza,CE,303.85,True,2024-12-03 23:16:00,-3.7172,-38.5437
33593347453,Loja A,Fortaleza,CE,274.49,True,2024-12-13 07:04:00,-3.7172,-38.5437
69205217019,Loja B,Curitiba,PR,295.03,False,2024-12-27 12:57:00,-25.4284,-49.2733
21988281646,Loja C,Fortaleza,CE,370.22,False,2024-12-14 19:31:00,-3.7172,-38.5437
21127242432,Loja C,Curitiba,PR,195.55,True,2024-12-06 06:51:00,-25.4284,-49.2733
33996388255,Loja B,Curitiba,PR,425.46,False,2024-12-14 04:27:00,-25.4284,-49.2733
35316259519,Loja A,Salvador,BA,306.64,False,2024-12-25 13:24:00,-12.9714,-38.5014
21988281646,Loja A,Rio de Janeiro,RJ,147.06,True,2024-12-09 17:18:00,-22.9068,-43.1729
63332663133,Loja B,Belo Horizonte,MG,232.12,False,2024-12-16 11:01:00,-19.9191,-43.9386
