,Nome,Sexo,Profissão,Salário atual,Estado Civil,Predição KNN,Predição Árvore
0,Davi Luiz Azevedo,Feminino,Analista de BI,0.0,Casado,Provável Mal Pagador,Provável Pagador Regular
1,Alice Vieira,Masculino,Desenvolvedor de Software,0.0,Casado,Provável Mal Pagador,Provável Pagador Regular
2,Enzo Gabriel Rezende,Masculino,Arquiteto,0.0,Casado,Provável Mal Pagador,Provável Pagador Regular
3,Mariane da Cunha,Masculino,Advogado,0.0,Divorciado,Provável Mal Pagador,Provável Pagador Regular
4,Srta. Sofia Pires,Feminino,Desenvolvedor Back-End,13060.43,Solteiro,Provável Pagador Regular,Provável Pagador Regular
5,Gustavo da Luz,Masculino,Engenheiro de Dados,3042.5,Casado,Provável Pagador Regular,Provável Pagador Regular
6,Dr. João Freitas,Masculino,Enfermeiro,1813.24,Divorciado,Provável Mal Pagador,Provável Pagador Regular
7,Pietra das Neves,Feminino,Professor,0.0,Viúvo,Provável Pagador Regular,Provável Pagador Regular
8,Bruna Pereira,Masculino,Publicitário,12773.9,Viúvo,Provável Mal Pagador,Provável Pagador Regular
9,Maria Cecília Costa,Masculino,Mecânico,0.0,Viúvo,Provável Mal Pagador,Provável Pagador Regular
10,Emanuel Monteiro,Feminino,Publicitário,0.0,Viúvo,Provável Mal Pagador,Provável Pagador Regular
11,Daniela Cardoso,Masculino,Arquiteto,0.0,Divorciado,Provável Mal Pagador,Provável Pagador Regular
12,Luiz Fernando Vieira,Feminino,Professor,3325.11,Viúvo,Provável Mal Pagador,Provável Pagador Regular
13,Bernardo Ferreira,Masculino,Eletricista,5981.77,Solteiro,Provável Mal Pagador,Provável Pagador Regular
14,Dr. Guilherme Carvalho,Feminino,Enfermeiro,0.0,Viúvo,Provável Mal Pagador,Provável Pagador Regular
15,Stephany Ferreira,Feminino,Gerente de Projetos,0.0,Divorciado,Provável Mal Pagador,Provável Pagador Regular
16,Beatriz Almeida,Feminino,Psicólogo,0.0,Solteiro,Provável Pagador Regular,Provável Pagador Regular
17,Cauã Ferreira,Feminino,Desenvolvedor Back-End,13573.04,Viúvo,Provável Pagador Regular,Provável Pagador Regular
18,Manuela Rodrigues,Feminino,Consultor de Vendas,0.0,Casado,Provável Mal Pagador,Provável Pagador Regular
19,João Guilherme Gomes,Masculino,Operador de Máquinas,6292.37,Casado,Provável Mal Pagador,Provável Pagador Regular
20,Isaac Araújo,Masculino,Analista de Segurança da Informação,0.0,Casado,Provável Mal Pagador,Provável Pagador Regular
21,Emanuel Dias,Masculino,Engenheiro Civil,0.0,Divorciado,Provável Mal Pagador,Provável Pagador Regular
22,Ian Cardoso,Masculino,Analista de Sistemas,13049.72,Viúvo,Provável Pagador Regular,Provável Pagador Regular
23,Luiz Miguel Nunes,Feminino,Eletricista,13549.92,Solteiro,Provável Pagador Regular,Provável Pagador Regular
24,Ana Vitória da Mota,Feminino,Gerente de Projetos,0.0,Divorciado,Provável Mal Pagador,Provável Pagador Regular
25,Milena Peixoto,Masculino,Chefe de Cozinha,2863.04,Divorciado,Provável Pagador Regular,Provável Pagador Regular
26,Nicole das Neves,Feminino,Engenheiro de Software,0.0,Viúvo,Provável Mal Pagador,Provável Pagador Regular
27,Levi Freitas,Masculino,Eletricista,12676.76,Casado,Provável Mal Pagador,Provável Pagador Regular
28,Yasmin Peixoto,Masculino,Analista de Sistemas,7859.86,Divorciado,Provável Mal Pagador,Provável Pagador Regular
29,Sr. Davi Luiz Freitas,Feminino,Gerente de Projetos,0.0,Divorciado,Provável Mal Pagador,Provável Pagador Regular
30,Maria Cecília da Cunha,Feminino,Engenheiro Civil,0.0,Casado,Provável Mal Pagador,Provável Pagador Regular
31,Helena Cavalcanti,Masculino,Mecânico,0.0,Viúvo,Provável Mal Pagador,Provável Pagador Regular
32,Calebe Nogueira,Feminino,Engenheiro de Software,13457.27,Viúvo,Provável Pagador Regular,Provável Pagador Regular
33,Maria Julia da Cunha,Masculino,Técnico de Informática,7690.25,Divorciado,Provável Mal Pagador,Provável Pagador Regular
34,Eduarda Cardoso,Feminino,Assistente Administrativo,12602.48,Solteiro,Provável Pagador Regular,Provável Pagador Regular
35,Gustavo Henrique da Mota,Feminino,Analista de Marketing,0.0,Divorciado,Provável Mal Pagador,Provável Pagador Regular
36,Sofia Souza,Masculino,Engenheiro de Dados,0.0,Viúvo,Provável Mal Pagador,Provável Pagador Regular
37,Benício Costa,Masculino,Psicólogo,0.0,Divorciado,Provável Mal Pagador,Provável Pagador Regular
38,Emilly Ferreira,Masculino,Professor,0.0,Solteiro,Provável Mal Pagador,Provável Pagador Regular
39,Vinicius Pinto,Masculino,Contador,0.0,Viúvo,Provável Mal Pagador,Provável Pagador Regular
40,Antônio Peixoto,Masculino,Enfermeiro,8830.31,Casado,Provável Mal Pagador,Provável Pagador Regular
41,Augusto Cardoso,Feminino,Engenheiro de Software,0.0,Divorciado,Provável Mal Pagador,Provável Pagador Regular
42,Leonardo da Mata,Masculino,Professor,0.0,Divorciado,Provável Mal Pagador,Provável Pagador Regular
43,Benjamin Cardoso,Masculino,Cozinheiro,11932.64,Divorciado,Provável Mal Pagador,Provável Pagador Regular
44,Cauê da Rocha,Masculino,Analista de Segurança da Informação,9894.63,Solteiro,Provável Mal Pagador,Provável Pagador Regular
45,Erick Castro,Feminino,Cozinheiro,15005.84,Casado,Provável Mal Pagador,Provável Pagador Regular
46,André Nunes,Masculino,Designer Gráfico,4540.75,Solteiro,Provável Mal Pagador,Provável Pagador Regular
47,Pedro Henrique Gomes,Feminino,Mecânico,1853.7,Casado,Provável Mal Pagador,Provável Pagador Regular
48,Dr. João Gabriel Gomes,Feminino,Analista de Sistemas,0.0,Solteiro,Provável Pagador Regular,Provável Pagador Regular
49,Heitor Fogaça,Feminino,Contador,15593.02,Viúvo,Provável Pagador Regular,Provável Pagador Regular
50,Breno Teixeira,Feminino,Operador de Máquinas,0.0,Viúvo,Provável Mal Pagador,Provável Pagador Regular
51,Yasmin das Neves,Feminino,Assistente Administrativo,0.0,Casado,Provável Mal Pagador,Provável Pagador Regular
52,Bryan Cardoso,Feminino,Analista de Sistemas,0.0,Divorciado,Provável Mal Pagador,Provável Pagador Regular
53,Bruno Ramos,Masculino,Advogado,0.0,Solteiro,Provável Mal Pagador,Provável Pagador Regular
54,Luna da Mota,Masculino,Analista Financeiro,6018.61,Divorciado,Provável Mal Pagador,Provável Pagador Regular
55,Miguel Gomes,Masculino,Desenvolvedor Front-End,7016.42,Viúvo,Provável Mal Pagador,Provável Pagador Regular
56,Diogo Melo,Feminino,Arquiteto de Dados,6733.66,Solteiro,Provável Mal Pagador,Provável Pagador Regular
57,Luigi Dias,Masculino,Vendedor,0.0,Casado,Provável Mal Pagador,Provável Pagador Regular
58,Ana Beatriz Pereira,Masculino,Consultor de Vendas,0.0,Viúvo,Provável Pagador Regular,Provável Pagador Regular
59,João Felipe Aragão,Masculino,Engenheiro de Dados,18090.04,Divorciado,Provável Mal Pagador,Provável Pagador Regular
60,Kamilly das Neves,Feminino,Analista Financeiro,10324.13,Viúvo,Provável Pagador Regular,Provável Pagador Regular
61,João Gabriel Peixoto,Feminino,Operador de Máquinas,2413.16,Casado,Provável Pagador Regular,Provável Pagador Regular
62,Carlos Eduardo Azevedo,Feminino,Analista Financeiro,0.0,Solteiro,Provável Mal Pagador,Provável Pagador Regular
63,Isabelly Costa,Masculino,Engenheiro Civil,2234.97,Casado,Provável Pagador Regular,Provável Pagador Regular
