Nome,Data de Nascimento,Sexo,Profissão,Data de Início no Último Emprego,Empregado,Salário atual,Estado Civil,Número de Filhos,Score de Crédito
Cauã Nogueira,1977-12-01,Feminino,Desenvolvedor de Software,2024-04-17,False,0.0,Solteiro,2,576
Rafael da Paz,2005-09-14,Masculino,Recepcionista,2020-07-22,True,11982.81,Viúvo,4,429
Srta. Fernanda Silveira,1971-03-13,Masculino,Arquiteto de Dados,2021-08-14,False,0.0,Viúvo,0,988
Sarah Mendes,1981-01-08,Feminino,Técnico de Enfermagem,2021-07-18,True,7087.12,Divorciado,1,772
Francisco Gonçalves,1995-11-23,Feminino,Analista de Sistemas,2024-11-10,True,6400.52,Solteiro,1,324
Kamilly da Cruz,2001-10-26,Masculino,Vendedor,2022-02-21,False,0.0,Viúvo,0,616
Luiz Miguel Pereira,1999-06-08,Feminino,Agente de Suporte,2020-11-10,False,0.0,Solteiro,0,202
Vitor Hugo da Mata,1960-12-15,Masculino,Operador de Máquinas,2024-08-11,True,15517.56,Solteiro,2,980
Stephany Aragão,1999-09-21,Masculino,Professor Universitário,2017-01-03,True,14068.44,Solteiro,4,378
João Aragão,1973-07-28,Masculino,Professor,2020-10-17,False,0.0,Viúvo,2,73
Dr. Marcelo da Paz,1997-05-20,Feminino,Arquiteto,2025-09-09,True,9731.32,Divorciado,1,359
Calebe Campos,1975-06-26,Masculino,Contador,2020-12-10,False,0.0,Casado,2,438
Luana da Cruz,1997-02-14,Feminino,Desenvolvedor Front-End,2016-07-15,False,0.0,Casado,4,148
Luana Freitas,2006-03-21,Feminino,Farmacêutico,2018-05-04,False,0.0,Solteiro,4,842
Theo Carvalho,2002-02-13,Masculino,Analista de BI,2020-08-29,False,0.0,Solteiro,2,379
Sophie Lopes,1983-09-22,Masculino,Desenvolvedor Back-End,2025-09-17,False,0.0,Divorciado,2,691
João Guilherme Azevedo,2004-09-15,Feminino,Analista Financeiro,2019-12-23,False,0.0,Casado,1,564
Laís da Mata,1996-05-29,Feminino,Analista de Segurança da Informação,2021-06-06,False,0.0,Viúvo,3,159
Levi da Rosa,1970-04-19,Masculino,Publicitário,2017-08-15,True,5145.46,Casado,3,173
Luiz Otávio Costa,2007-09-10,Masculino,Fotógrafo,2025-01-27,False,0.0,Divorciado,0,537
Lucas Gabriel Duarte,1990-01-12,Feminino,Vendedor,2023-09-19,True,9716.7,Divorciado,3,646
Maria Martins,2005-03-11,Feminino,Farmacêutico,2020-06-25,True,15371.04,Viúvo,1,456
